TRANSACTION_NUMBER,INSTANCE_DATE,GROUP_EN,PROCEDURE_EN,IS_OFFPLAN_EN,IS_FREE_HOLD_EN,USAGE_EN,AREA_EN,PROP_TYPE_EN,PROP_SB_TYPE_EN,TRANS_VALUE,PROCEDURE_AREA,ACTUAL_AREA,ROOMS_EN,PARKING,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,TOTAL_BUYER,TOTAL_SELLER,MASTER_PROJECT_EN,PROJECT_EN
"102-114213-2025","2025-12-19 13:40:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI WATER CANAL","Unit","Flat","30000000","494.61","494.61","3 B/R","2  0","Business Bay Metro Station","Dubai Mall","Burj Khalifa","0","0","","CASA CANAL"
"102-125677-2025","2025-12-19 19:41:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Office","2949000","62.25","62.25","NA","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","HQ by ROVE"
"102-127039-2025","2025-12-19 11:25:06","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","HORIZON","Unit","Flat","2524000","114.93","114.93","2 B/R","1","Creek Metro Station","Dubai Mall","Downtown Dubai","0","0","","AMAAL 8"
"102-127207-2025","2025-12-19 19:40:56","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Office","3019000","62.25","62.25","NA","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","HQ by ROVE"
"102-127359-2025","2025-12-19 11:22:03","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1418689","94.46","94.46","2 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Aveline Residences by Citi Developers"
"102-127375-2025","2025-12-19 11:22:18","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1463886","100.66","100.66","2 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Aveline Residences by Citi Developers"
"102-127588-2025","2025-12-19 11:23:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1085176","72.26","72.26","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Aveline Residences by Citi Developers"
"102-127608-2025","2025-12-19 11:22:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1391846","100.18","100.18","2 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Aveline Residences by Citi Developers"
"102-127616-2025","2025-12-19 11:22:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1029846","70.37","70.37","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Aveline Residences by Citi Developers"
"102-127848-2025","2025-12-19 11:25:12","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","HORIZON","Unit","Flat","2652888","83.92","83.92","1 B/R","1","Creek Metro Station","Dubai Mall","Downtown Dubai","0","0","","AMAAL 8"
"102-128076-2025","2025-12-19 11:18:50","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1147676","72.77","72.77","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Allura Residences by Citi Developers"
"102-128090-2025","2025-12-19 11:18:56","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1799032","118.62","118.62","3 B/R","2","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Allura Residences by Citi Developers"
"102-128117-2025","2025-12-19 11:19:40","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","665660","40.19","40.19","Studio","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Allura Residences by Citi Developers"
"102-128126-2025","2025-12-19 13:39:49","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","905709","69.1","69.1","1 B/R","1","","","IMG World Adventures","0","0","","Jade Tower"
"102-128158-2025","2025-12-19 13:39:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI INDUSTRIAL CITY","Unit","Flat","844015.38","55.05","55.05","1 B/R","1","","","Dubai Parks and Resorts","0","0","","Samana Hills South"
"102-128162-2025","2025-12-19 13:48:24","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Dubai Almelaheyah","Unit","Flat","4078000","130.89","130.89","2 B/R","1","","","","0","0","","Kanyon By Beyond"
"102-128163-2025","2025-12-19 13:39:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI INDUSTRIAL CITY","Unit","Flat","1260346.38","82.22","82.22","2 B/R","1","","","Dubai Parks and Resorts","0","0","","Samana Hills South"
"102-128170-2025","2025-12-19 13:38:39","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","968000.4","40.77","40.77","Studio","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","Samana Imperial Garden"
"102-128235-2025","2025-12-18 16:10:59","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 4","Unit","Flat","3090000","135.83","135.83","2 B/R","1","","","","0","0","","DISTRIKT"
"102-128242-2025","2025-12-19 11:19:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1073562","67.39","67.39","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Allura Residences by Citi Developers"
"102-128262-2025","2025-12-19 11:19:51","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1086962","66.66","66.66","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Allura Residences by Citi Developers"
"102-128268-2025","2025-12-19 13:34:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI PRODUCTION CITY","Unit","Flat","1693510.72","147.65","147.65","2 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Samana Sky Views"
"102-128271-2025","2025-12-19 13:32:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI PRODUCTION CITY","Unit","Flat","1066626.71","75.29","75.29","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Samana Sky Views"
"102-128275-2025","2025-12-19 13:32:19","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI PRODUCTION CITY","Unit","Flat","1110542.65","65.41","65.41","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Samana Sky Views"
"102-128287-2025","2025-12-19 11:19:58","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","690000","40.36","40.36","Studio","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Allura Residences by Citi Developers"
